,low,high,open,close,volume,price_change,average_price,volatility,pct_change,day_of_week,close_lag_1,volume_lag_1,close_lag_3,volume_lag_3,close_lag_7,volume_lag_7,close_MA10,close_ema_7,close_ema_14,close_ema_30,RSI,MACD,Signal_Line,volatility_7d,volatility_14d,volatility_30d,momentum_1d,momentum_7d,momentum_30d,month_of_year
low,1.0,0.9941341828229759,0.9951180284328482,0.9970673778639728,0.31149007453812777,0.01813932634647682,0.9983836918463007,0.14465536998625966,-0.08706956389128069,0.005898282657786686,0.10347055538357389,0.05429531506489898,0.044886755023076846,0.09347920998094161,0.04164093522251554,0.07702624065924618,0.319978193417982,0.26291568629664197,0.38251377742735204,0.4916738430191172,0.052517165233964935,-0.045491965401934474,0.022697625615893155,-0.02322847296147476,-0.056329102840184525,-0.10379757515467407,-0.08706956389128069,-0.00827759385650272,-0.049197494622894085,0.11845992266194728
high,0.9941341828229759,1.0,0.9965347680089792,0.9959530481187976,0.38987453419110407,-0.0031942338100617103,0.9986740691357314,0.24003502542507532,-0.09318167758949111,-0.01038801891271056,0.1047480629155676,0.06107087259447521,0.04372856304464514,0.10860309826501743,0.038117257923332606,0.08604920367664264,0.3187005786805585,0.26146909134277674,0.379634971110075,0.4887540688089568,0.05331177604631695,-0.04623605158225556,0.01761057456066893,-0.02487104954036564,-0.05929194845945271,-0.109581273169123,-0.09318167758949111,-0.007433533836082676,-0.05399722753224815,0.12242520993077737
open,0.9951180284328482,0.9965347680089792,1.0,0.992962156964051,0.3511373468599513,-0.05761105091230187,0.9973214349737715,0.20709141355257463,-0.0898833807029016,-0.004417580200738913,0.10260606049571803,0.06291863099154131,0.04677866839007682,0.10636185692644232,0.03930689167384196,0.0802992806398473,0.3180930767504275,0.25915169365704427,0.3791792057855975,0.49025114537734626,0.05124372907718159,-0.05090066236985458,0.015542299673074156,-0.0276884321650447,-0.05986072945140937,-0.10748052798482602,-0.0898833807029016,-0.009644003898444881,-0.05364347946621181,0.11884812880880002
close,0.9970673778639728,0.9959530481187976,0.992962156964051,1.0,0.3475215717614591,0.06102977173626298,0.9979436041394714,0.186731373661767,-0.09145711770084254,0.0005012079090984591,0.10328729151700863,0.05694428530382879,0.04245487390839347,0.1029042260888547,0.04096745255509799,0.08340818117942606,0.31942897173290163,0.263873553410163,0.3828191653588633,0.4918015404656779,0.05289053914705546,-0.044662315542646866,0.021401036303414334,-0.024126088532725208,-0.056878890075358894,-0.10716978848461836,-0.09145711770084254,-0.008932687682166148,-0.049668158856307126,0.11876554803849308
volume,0.31149007453812777,0.38987453419110407,0.3511373468599513,0.3475215717614591,1.0,-0.029877324296762642,0.353136580418426,0.8038267406426514,-0.09562932491290753,-0.18602077700032793,0.03884500176893486,0.1314776494931574,-0.04561401227742954,0.20865090145662357,-0.021268304507540935,0.16256803805113992,0.08823166115217604,0.0805750193408478,0.1115429572148705,0.14810901013800776,0.05110347086693002,-0.0200162990329399,-0.025574669911221985,-0.045746937985379585,-0.08001987558592036,-0.14464223982747168,-0.09562932491290753,0.005448381664874103,-0.06361756675831091,0.08236730749830926
price_change,0.01813932634647682,-0.0031942338100617103,-0.05761105091230187,0.06102977173626298,-0.029877324296762642,1.0,0.006955460904510553,-0.1712724600301004,-0.013420214069338465,0.04145601028921193,0.005918538933782632,-0.05025362283287049,-0.03636776512934362,-0.028964112988957007,0.014065348965810374,0.026344641788961308,0.01180676287463031,0.040248102007613466,0.03133397323782926,0.013910239857913523,0.013969911057700332,0.052499671651203485,0.049413672307744,0.029981759761591294,0.02503313253634429,0.0024350488038578626,-0.013420214069338465,0.005979592748504128,0.033418481723869506,-0.0004922540531592588
average_price,0.9983836918463007,0.9986740691357314,0.9973214349737715,0.9979436041394714,0.353136580418426,0.006955460904510553,1.0,0.19498799658322527,-0.09040903780980108,-0.002651272115136749,0.10429356307824028,0.057935368596258266,0.04434395084399633,0.10156363061222731,0.03985034605531382,0.0818805969329408,0.31977594293462147,0.26254098058301073,0.38156180800914646,0.49086038397000886,0.05301171589015979,-0.045949666569292044,0.02005773489297888,-0.024125676819024888,-0.05796861633788143,-0.1069889964114972,-0.09040903780980108,-0.007846188925007352,-0.0517918087019668,0.12071729321260924
volatility,0.14465536998625966,0.24003502542507532,0.20709141355257463,0.186731373661767,0.8038267406426514,-0.1712724600301004,0.19498799658322527,1.0,-0.07767375137190484,-0.16151065553380534,0.0168591496961706,0.11335775718174544,-0.02254271961652214,0.20920566415581826,-0.02023526754330888,0.16086249428924113,0.031037334909374298,0.02189894515393767,0.035137210230739256,0.06096555321579656,0.04459218069050227,-0.03323182438288952,-0.0550623878444354,-0.0416269333428554,-0.0523322065295123,-0.10827097278149757,-0.07767375137190484,0.011114748268965623,-0.07101273106016001,0.0036479646863618914
pct_change,-0.08706956389128069,-0.09318167758949111,-0.0898833807029016,-0.09145711770084254,-0.09562932491290753,-0.013420214069338465,-0.09040903780980108,-0.07767375137190484,1.0,0.030246098000153956,-0.177509874497897,0.5336610955532654,0.01126321442368812,-0.07737892758833714,-0.04885327235106757,-0.06476950897201016,-0.08819964387813312,-0.13720545494981728,-0.1214602319936156,-0.09945514714596969,-0.03188487675599777,-0.11354796562612963,-0.06913488049784589,-0.0665130445253381,-0.020031383590156708,0.04558752963063243,1.0,0.02479793987945211,0.03825309457281899,0.009265283402685967
day_of_week,0.005898282657786686,-0.01038801891271056,-0.004417580200738913,0.0005012079090984591,-0.18602077700032793,0.04145601028921193,-0.002651272115136749,-0.16151065553380534,0.030246098000153956,1.0,-0.006940465752266028,-0.012179483537269213,0.05992219428139461,-0.05852116581062604,-0.004231702728977627,-0.0012798884591506915,0.0009653670520361731,0.005840622439899307,0.006242168034875599,0.00522751440518811,0.016544597412474063,0.006142720374097581,0.006859909215541857,0.015978105605644034,0.027242376412064177,0.029147828295504136,0.030246098000153956,0.019772458555952988,0.02322106612758721,0.004441895857069028
